Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /,28002,0,6,7.246175585745556,1.888070000859443,260.69590899896866,10023.798050139276,93.62653737917373,0.0,6,6,7,8,9,12,24,66,120,240,260
GET,GET /?currency=X,22773,0,5,7.252503986027647,1.7360430010739947,234.278591000475,10023.617705177183,76.143030345544,0.0,5,6,7,8,9,12,25,67,120,230,230
GET,GET /?product_id=X,2799,0,6,7.217024993188443,2.0378239987621782,149.9783880008181,10023.587352625938,9.358641458621072,0.0,6,7,7,8,9,11,26,67,110,150,150
GET,GET /cart,11271,0,5,7.013476454175988,1.962543999979971,244.83576199963863,12239.648655842428,37.685333290503074,0.0,5,6,7,7,9,11,20,64,120,240,240
GET,GET /product/[id],19907,0,5,6.927698315866551,1.9551890000002459,195.3421159996651,7580.97096498719,66.56036995954615,0.0,5,6,7,7,9,11,23,67,110,190,200
POST,POST /cart (add),14300,0,10,18.052842739790048,3.745203999642399,316.97828700089303,17387.133426573426,47.81299494758176,0.0,10,12,15,18,50,53,60,88,140,310,320
POST,POST /cart (pre-checkout add),5642,0,10,18.217344453733375,3.44041900098091,324.5484219987702,17398.477490251684,18.864399824773166,0.0,10,12,15,19,50,53,60,90,290,320,320
POST,POST /cart/checkout,5642,0,7,15.757486612895953,2.1930639995844103,167.31290399911813,6434.998582063098,18.864399824773166,0.0,7,9,12,45,47,49,51,53,84,170,170
POST,POST /cart/empty,5565,0,9,11.119493300810035,3.86809399969934,287.62295600063226,9978.656064690027,18.60694523659388,0.0,9,10,11,12,14,17,37,84,150,290,290
POST,POST /setCurrency,8380,0,10,17.75048175466003,3.171815000314382,333.51097900049353,10025.845226730311,28.01908375249896,0.0,10,12,14,18,50,53,59,87,160,330,330
,Aggregated,124281,0,6,10.18416639591532,1.7360430010739947,333.51097900049353,10850.653060403441,415.541736019609,0.0,6,8,9,10,14,47,54,71,130,290,330
